"Probe"	"Feature"	"Chr"	"Start"	"End"	"P.value"	"FDR"	"Log2.Fold.Change"	"Shrunk.Log2.Fold.Change"
"Chr1:95319601-95321400"	"SLC44A3"	"1"	95319601	95321400	0.07997084	0.15144703	0.6428226	-0.5892366
"Chr1:95488951-95490000"	"ALG14"	"1"	95488951	95490000	2.0512403e-05	0.00016874076	1.5059277	-1.3889127
"Chr1:95537551-95539650"	"ALG14"	"1"	95537551	95539650	0.033108644	0.07548182	-0.36240202	0.35546142
"Chr1:95552401-95553450"	"null"	"1"	95552401	95553450	1.1928167e-06	1.5051899e-05	1.8947192	-1.7184294
"Chr1:95581951-95584200"	"null"	"1"	95581951	95584200	0.56758624	0.67388827	0.28409305	-0.24349795
"Chr1:95699101-95700300"	"RWDD3"	"1"	95699101	95700300	0.67968297	0.76739484	-0.09642071	0.092998624
"Chr1:95722951-95724000"	"null"	"1"	95722951	95724000	0.0045765145	0.015259154	-1.2539233	1.1073111
"Chr1:96207901-96209100"	"null"	"1"	96207901	96209100	7.410848e-05	0.0004996021	2.4409926	-1.9395621
"Chr1:96827701-96828900"	"null"	"1"	96827701	96828900	1.7709949e-19	6.422664e-17	3.215775	-2.9618204
"Chr1:96835951-96837000"	"null"	"1"	96835951	96837000	9.2632666e-07	1.2103296e-05	3.3838868	-2.546586
"Chr1:97186501-97188600"	"PTBP2"	"1"	97186501	97188600	0.013477265	0.03684983	-0.45267323	0.44264832
"Chr1:97609951-97610700"	"DPYD"	"1"	97609951	97610700	0.021161564	0.052791506	1.105414	-0.956775
"Chr1:97658101-97659150"	"DPYD"	"1"	97658101	97659150	0.00072009093	0.0033360438	1.718093	-1.4625416
"Chr1:97742851-97744500"	"DPYD"	"1"	97742851	97744500	4.7885487e-09	1.2307854e-07	2.899772	-2.4863317
"Chr1:97849351-97851000"	"DPYD"	"1"	97849351	97851000	2.8578515e-06	3.15936e-05	2.925498	-2.3080566
"Chr1:97955101-97956000"	"DPYD"	"1"	97955101	97956000	0.3452177	0.4660259	-0.46965957	0.40195477
"Chr1:98372251-98373150"	"DPYD"	"1"	98372251	98373150	0.10270698	0.18390536	0.7689861	-0.6688696
"Chr1:98385901-98387250"	"DPYD"	"1"	98385901	98387250	0.19565012	0.3026552	0.49217352	-0.44841385
"Chr1:98402851-98404350"	"null"	"1"	98402851	98404350	3.8834147e-10	1.3491237e-08	2.6620984	-2.3720458
"Chr1:98551801-98553000"	"null"	"1"	98551801	98553000	9.837096e-05	0.00063374254	2.3577192	-1.8873483
"Chr1:98788651-98790450"	"null"	"1"	98788651	98790450	6.613178e-08	1.251035e-06	2.7412698	-2.3337178
"Chr1:99126601-99128400"	"SNX7"	"1"	99126601	99128400	0.67272437	0.7618522	-0.08490597	0.08265312
"Chr1:99259801-99260100"	"null"	"1"	99259801	99260100	0.11265724	0.197942	-0.7081036	0.6242919
"Chr1:99447151-99448050"	"LPPR5"	"1"	99447151	99448050	0.19133335	0.29735413	0.7879275	-0.6329374
"Chr1:99456601-99457350"	"LPPR5"	"1"	99456601	99457350	0.033865903	0.07690754	1.2395153	-1.0072902
"Chr1:99635701-99636750"	"null"	"1"	99635701	99636750	0.011180555	0.031750128	1.586069	-1.2543877
"Chr1:100065151-100065750"	"null"	"1"	100065151	100065750	0.0004899114	0.002432624	1.7128755	-1.4725826
"Chr1:100213651-100214700"	"FRRS1"	"1"	100213651	100214700	0.19436821	0.30114213	-0.55296993	0.49207413
"Chr1:100220851-100222950"	"null"	"1"	100220851	100222950	0.21736981	0.3279959	0.5774004	-0.5030805
"Chr1:100231651-100232850"	"null"	"1"	100231651	100232850	0.601236	0.702868	0.2153415	-0.19322088
"Chr1:100314901-100316400"	"AGL"	"1"	100314901	100316400	0.0016872641	0.0067504183	-0.67867076	0.65793073
"Chr1:100434901-100436850"	"SLC35A3"	"1"	100434901	100436850	0.29715034	0.41623056	-0.2336407	0.22598007
"Chr1:100597651-100599300"	"SASS6"	"1"	100597651	100599300	0.14801092	0.24426329	-0.29935116	0.29094404
"Chr1:100714651-100716150"	"DBT"	"1"	100714651	100716150	0.000546672	0.002662452	-0.7329975	0.7114088
"Chr1:100730851-100732500"	"RTCD1"	"1"	100730851	100732500	0.019724172	0.049943577	-0.4054163	0.39730763
"Chr1:100951201-100951800"	"CDC14A"	"1"	100951201	100951800	0.18284303	0.28723645	-0.6076964	0.53246653
"Chr1:101008951-101010000"	"GPR88"	"1"	101008951	101010000	0.00073242356	0.0033836898	-1.442996	1.284035
"Chr1:101062351-101063250"	"null"	"1"	101062351	101063250	3.807833e-05	0.00028323496	2.39456	-1.9475659
"Chr1:101468101-101468850"	"DPH5"	"1"	101468101	101468850	0.45335713	0.5697651	0.31451273	-0.28125313
"Chr1:101490751-101492250"	"DPH5"	"1"	101490751	101492250	0.00038042438	0.001972291	-0.58976924	0.5790032
"Chr1:101719651-101719950"	"null"	"1"	101719651	101719950	0.8564771	0.90203696	0.08783295	-0.07575427
"Chr1:101724901-101725950"	"null"	"1"	101724901	101725950	2.021614e-06	2.3659488e-05	2.0529063	-1.823453
"Chr1:101753701-101754750"	"null"	"1"	101753701	101754750	0.013142652	0.03613119	-1.049166	0.9360625
"Chr1:101836501-101837400"	"null"	"1"	101836501	101837400	0.49045235	0.60423696	0.30322286	-0.26825672
"Chr1:102314851-102315450"	"OLFM3"	"1"	102314851	102315450	0.0049932515	0.01638051	-1.1313077	1.0199077
"Chr1:103344751-103345800"	"COL11A1"	"1"	103344751	103345800	0.00053066114	0.0025988594	2.1896198	-1.7226677
"Chr1:103357501-103358250"	"COL11A1"	"1"	103357501	103358250	0.003056075	0.010914082	1.6884574	-1.384009
"Chr1:104068051-104069250"	"RNPC3"	"1"	104068051	104069250	0.23149602	0.34439865	-0.20738122	0.20325953
"Chr1:107599051-107599800"	"PRMT6"	"1"	107599051	107599800	0.0053693443	0.017425904	-0.59274954	0.5751506
"Chr1:107619301-107620050"	"null"	"1"	107619301	107620050	0.1409719	0.23537265	0.81918085	-0.67817056
"Chr1:108478651-108479850"	"VAV3"	"1"	108478651	108479850	0.013013717	0.035846785	-0.89074147	0.819619
"Chr1:109117801-109118250"	"FAM102B"	"1"	109117801	109118250	0.08904323	0.16471578	0.9963035	-0.8091021
"Chr1:109126651-109127550"	"FAM102B"	"1"	109126651	109127550	0.13353913	0.22557151	0.8647266	-0.7064906
"Chr1:109234051-109236450"	"PRPF38B"	"1"	109234051	109236450	0.004292334	0.014457517	-0.5131311	0.50219077
"Chr1:109262101-109263600"	"FNDC7"	"1"	109262101	109263600	0.30429465	0.42398512	0.49132565	-0.42562443
"Chr1:109288501-109290600"	"STXBP3"	"1"	109288501	109290600	0.07808977	0.14868957	-0.3202666	0.31327948
"Chr1:109358701-109359750"	"AKNAD1"	"1"	109358701	109359750	0.002371054	0.008891602	-0.49235663	0.48378804
"Chr1:109372651-109374000"	"AKNAD1"	"1"	109372651	109374000	0.58991635	0.6930678	-0.11516632	0.11172443
"Chr1:109419001-109420650"	"AKNAD1"	"1"	109419001	109420650	0.009433542	0.027625276	-0.576276	0.55772775
"Chr1:109505251-109506600"	"AKNAD1"	"1"	109505251	109506600	0.31182906	0.43139064	-0.21886663	0.2121615
"Chr1:109583851-109585200"	"null"	"1"	109583851	109585200	0.14444864	0.2397556	-0.38952646	0.37165815
"Chr1:109618051-109619250"	"TAF13"	"1"	109618051	109619250	0.05154938	0.10702893	-0.34706002	0.33977264
"Chr1:109632751-109634400"	"TMEM167B"	"1"	109632751	109634400	0.17020525	0.271927	-0.2549175	0.24910916
"Chr1:109642201-109643850"	"C1orf194"	"1"	109642201	109643850	0.041887537	0.09074464	-0.3987743	0.38869655
"Chr1:109654651-109655850"	"C1orf194"	"1"	109654651	109655850	0.00039884928	0.0020503083	-1.4254023	1.2848325
"Chr1:109739401-109741650"	"KIAA1324"	"1"	109739401	109741650	1.6986327e-06	2.0384696e-05	1.6669396	-1.540821
"Chr1:109805851-109807050"	"CELSR2"	"1"	109805851	109807050	0.9774561	0.9852418	-0.011058099	0.56407946
"Chr1:109824901-109826850"	"PSRC1"	"1"	109824901	109826850	0.00071443117	0.0033129198	-0.6130086	0.59972894
"Chr1:109968151-109970400"	"PSMA5"	"1"	109968151	109970400	0.98006535	0.9872361	-0.004379347	0.004290412
"Chr1:109981201-109982250"	"null"	"1"	109981201	109982250	0.012027633	0.033673298	1.3490623	-1.1297427
"Chr1:110025751-110028150"	"ATXN7L2"	"1"	110025751	110028150	2.5333107e-05	0.000201299	-0.8466267	0.82415247
"Chr1:110035951-110037450"	"CYB561D1"	"1"	110035951	110037450	0.15495172	0.25308695	-0.356198	0.34173223
"Chr1:110074501-110076150"	"null"	"1"	110074501	110076150	0.0029001313	0.010481782	-0.96662	0.9024522
"Chr1:110185651-110186700"	"null"	"1"	110185651	110186700	0.0012062632	0.0051282137	1.308694	-1.1788579
"Chr1:110198101-110199300"	"GSTM4"	"1"	110198101	110199300	0.9433322	0.963319	0.02081421	-0.019676246
"Chr1:110319151-110320350"	"null"	"1"	110319151	110320350	0.55270296	0.6608369	-0.21413034	0.1968893
"Chr1:110325451-110326800"	"null"	"1"	110325451	110326800	0.6734931	0.7623744	-0.17473297	0.1566594
"Chr1:110350501-110351700"	"null"	"1"	110350501	110351700	0.7371297	0.8138393	-0.15768388	0.13728446
"Chr1:110369701-110370900"	"null"	"1"	110369701	110370900	0.40855783	0.5282016	-0.3023878	-0.71152717
"Chr1:110381101-110382300"	"null"	"1"	110381101	110382300	0.0003051565	0.001645466	1.8529179	-1.5732017
"Chr1:110438101-110439150"	"null"	"1"	110438101	110439150	0.36931843	0.49032506	0.5146886	-0.42131686
"Chr1:110526451-110528550"	"AHCYL1"	"1"	110526451	110528550	0.36499098	0.48595846	-0.14528391	0.14280555
"Chr1:110545951-110547750"	"AHCYL1"	"1"	110545951	110547750	2.0816924e-05	0.00017072633	1.7870826	-1.5971419
"Chr1:110554051-110554950"	"AHCYL1"	"1"	110554051	110554950	0.06183176	0.12332347	0.86295044	-0.75419194
"Chr1:110576251-110578350"	"FAM40A"	"1"	110576251	110578350	0.022852015	0.0561028	-0.37216163	0.36556396
"Chr1:110692351-110694000"	"null"	"1"	110692351	110694000	0.119261414	0.20691925	1.0201963	-0.7906138
"Chr1:110776951-110779650"	"KCNC4"	"1"	110776951	110779650	0.62202585	0.72026336	-0.27149752	0.22537458
"Chr1:110834701-110835600"	"null"	"1"	110834701	110835600	0.21410371	0.32428524	-0.5018706	0.45201665
"Chr1:110854651-110855850"	"null"	"1"	110854651	110855850	0.0029527624	0.010625514	-1.332337	1.173057
"Chr1:110862151-110863050"	"null"	"1"	110862151	110863050	0.014106879	0.038186766	-0.93654263	0.8523552
"Chr1:110949601-110951550"	"HBXIP"	"1"	110949601	110951550	0.57406384	0.679409	-0.10297079	0.1006901
"Chr1:110976001-110977200"	"null"	"1"	110976001	110977200	0.0717396	0.139101	0.8437039	-0.735189
"Chr1:111019051-111021450"	"null"	"1"	111019051	111021450	0.6492614	0.74220556	-0.16604552	0.1523724
"Chr1:111157951-111159750"	"null"	"1"	111157951	111159750	1.2742206e-05	0.000113443144	-2.1029518	1.8175685
"Chr1:111161701-111162600"	"null"	"1"	111161701	111162600	2.2472903e-05	0.00018177147	-2.0328476	1.759225
"Chr1:111173101-111173850"	"null"	"1"	111173101	111173850	0.0037304389	0.012884529	-1.5872968	1.319625
"Chr1:111422251-111423300"	"null"	"1"	111422251	111423300	0.41570604	0.53531283	-0.35239765	0.31298953
"Chr1:111459151-111460200"	"null"	"1"	111459151	111460200	0.004719165	0.015654046	1.4124067	-1.2091707
"Chr1:111469651-111470850"	"null"	"1"	111469651	111470850	0.4548012	0.57095903	-0.29769543	0.26906493
"Chr1:111505501-111507300"	"LRIF1"	"1"	111505501	111507300	0.08655518	0.16110522	-0.33266142	0.32441145
"Chr1:111681601-111683850"	"null"	"1"	111681601	111683850	0.031251825	0.07199928	-0.39144322	0.38290882
"Chr1:111765151-111766200"	"CHI3L2"	"1"	111765151	111766200	0.21179585	0.3216744	-0.647171	0.5479608
"Chr1:111770701-111771900"	"CHI3L2"	"1"	111770701	111771900	0.044597637	0.095420144	-1.0331638	0.876575
"Chr1:111776851-111777900"	"CHI3L2"	"1"	111776851	111777900	0.73617405	0.8130257	-0.18581259	0.15413918
"Chr1:111990901-111992700"	"WDR77"	"1"	111990901	111992700	0.17268018	0.27499	-0.2503494	0.24478164
"Chr1:112050151-112051500"	"ADORA3"	"1"	112050151	112051500	0.006120318	0.019403627	0.7850546	-0.7439151
"Chr1:112084351-112084950"	"ADORA3"	"1"	112084351	112084950	0.019234737	0.048964445	1.209184	-1.0250345
"Chr1:112105951-112107000"	"ADORA3"	"1"	112105951	112107000	0.09836823	0.17768781	0.64407575	-0.58431256
"Chr1:112134751-112136550"	"null"	"1"	112134751	112136550	0.5479988	0.6565171	0.22288676	-0.203967
"Chr1:112161751-112163700"	"null"	"1"	112161751	112163700	0.12476539	0.21405278	-0.2766442	0.27071133
"Chr1:112247101-112248000"	"RAP1A"	"1"	112247101	112248000	0.5218569	0.63275623	-0.2982972	0.2602879
"Chr1:112280851-112282950"	"C1orf183"	"1"	112280851	112282950	0.00015077968	0.0009054697	-0.9026221	0.8693535
"Chr1:112289551-112290600"	"C1orf183"	"1"	112289551	112290600	0.28466618	0.40301847	0.49528053	-0.43271264
"Chr1:112297351-112299000"	"C1orf183"	"1"	112297351	112299000	0.0016818604	0.0067360494	-0.533087	0.5229238
"Chr1:112793851-112795350"	"null"	"1"	112793851	112795350	0.00019756681	0.0011399382	2.357203	-1.8513227
"Chr1:112879351-112880250"	"null"	"1"	112879351	112880250	0.058400594	0.11795503	-0.85380936	0.75112873
"Chr1:112911901-112912950"	"null"	"1"	112911901	112912950	0.0038818493	0.013315591	-1.1771057	1.0583823
"Chr1:113008051-113009400"	"WNT2B"	"1"	113008051	113009400	0.92720926	0.95228624	-0.038157273	0.034138665
"Chr1:113050651-113051850"	"WNT2B"	"1"	113050651	113051850	0.8809475	0.91965234	0.06518574	-0.057793874
"Chr1:113086201-113087850"	"ST7L"	"1"	113086201	113087850	1.0984931e-08	2.5681595e-07	2.54498	-2.244569
"Chr1:113117701-113118750"	"ST7L"	"1"	113117701	113118750	0.0057622697	0.018465342	1.442896	-1.2180418
"Chr1:113124001-113124900"	"ST7L"	"1"	113124001	113124900	0.060434163	0.12118618	0.9472923	-0.80801266
"Chr1:113160751-113163600"	"ST7L"	"1"	113160751	113163600	0.0111853145	0.03175296	-0.34262046	0.33845437
"Chr1:113242801-113244750"	"MOV10"	"1"	113242801	113244750	0.14026609	0.23452339	-0.30733457	0.2985865
"Chr1:113269951-113270700"	"FAM19A3"	"1"	113269951	113270700	0.21832894	0.32914254	-0.53488773	0.47412625
"Chr1:113278051-113279100"	"null"	"1"	113278051	113279100	1.0915694e-11	5.912767e-10	3.674807	-3.0653389
"Chr1:113346301-113347500"	"null"	"1"	113346301	113347500	0.00823	0.024696643	-1.0052608	0.9154368
"Chr1:113351551-113352450"	"null"	"1"	113351551	113352450	0.007001429	0.021647794	-1.0735986	0.96950763
"Chr1:113408551-113409300"	"null"	"1"	113408551	113409300	0.0037526423	0.012940743	1.5576409	-1.3044952
"Chr1:113477851-113479200"	"null"	"1"	113477851	113479200	0.00079983706	0.0036381963	1.4416864	-1.2818084
"Chr1:113577601-113578200"	"null"	"1"	113577601	113578200	0.84952784	0.89678246	-0.07656636	0.068973385
"Chr1:113614801-113616900"	"LRIG2"	"1"	113614801	113616900	0.08067344	0.15242815	-0.357591	0.34775499
"Chr1:113733601-113735100"	"null"	"1"	113733601	113735100	0.52264136	0.6335783	0.37748274	-0.30571046
"Chr1:113850301-113851650"	"null"	"1"	113850301	113851650	0.081647635	0.15389729	-0.771263	0.68077594
"Chr1:113866201-113868300"	"null"	"1"	113866201	113868300	4.9622577e-06	5.0850318e-05	2.2444386	-1.928901
"Chr1:113938801-113940000"	"MAGI3"	"1"	113938801	113940000	0.82569224	0.8793309	-0.117525786	0.09866329
"Chr1:113952001-113952450"	"MAGI3"	"1"	113952001	113952450	0.0038748772	0.013299988	-1.2842712	1.1329964
"Chr1:113999101-114000450"	"MAGI3"	"1"	113999101	114000450	0.00058469916	0.0028131022	1.8714843	-1.5587355
"Chr1:114022351-114022800"	"MAGI3"	"1"	114022351	114022800	0.14874193	0.24524769	-0.6662797	0.5821332
"Chr1:114301051-114302700"	"PHTF1"	"1"	114301051	114302700	0.123655014	0.21261942	-0.26867983	0.26326945
"Chr1:114347101-114348150"	"RSBN1"	"1"	114347101	114348150	0.30824688	0.42782813	0.43529233	-0.38745713
"Chr1:114353851-114356100"	"RSBN1"	"1"	114353851	114356100	0.013345332	0.03657391	-0.4722145	0.46088642
"Chr1:114410701-114411750"	"PTPN22"	"1"	114410701	114411750	0.030035455	0.06973418	1.0619485	-0.91352063
"Chr1:114429601-114431100"	"BCL2L15"	"1"	114429601	114431100	0.14348423	0.23858947	-0.60939884	0.5452832
"Chr1:114446701-114448800"	"AP4B1"	"1"	114446701	114448800	0.21400592	0.3241961	-0.22484264	0.21998248
"Chr1:114471301-114473550"	"HIPK1"	"1"	114471301	114473550	0.528866	0.639196	-0.11196557	0.1096271
"Chr1:114557251-114558600"	"null"	"1"	114557251	114558600	0.0072435397	0.022254871	1.4917223	-1.2353089
"Chr1:114575101-114576300"	"null"	"1"	114575101	114576300	0.00029470856	0.0015981114	1.8653972	-1.581114
"Chr1:114656551-114657750"	"SYT6"	"1"	114656551	114657750	0.0025383485	0.009400425	1.9303213	-1.5108051
"Chr1:114888601-114889950"	"null"	"1"	114888601	114889950	0.2460743	0.36065835	-0.50173813	0.44546345
"Chr1:115000651-115001700"	"TRIM33"	"1"	115000651	115001700	0.00532599	0.017305974	1.4229513	-1.2096039
"Chr1:115011301-115012500"	"TRIM33"	"1"	115011301	115012500	0.73675877	0.8134903	-0.14503859	0.12882754
"Chr1:115015651-115017300"	"TRIM33"	"1"	115015651	115017300	0.2828803	0.4010629	0.42999867	-0.38788605
"Chr1:115123651-115125150"	"BCAS2"	"1"	115123651	115125150	0.002862679	0.010370368	-0.54278064	0.53091127
"Chr1:115211551-115213500"	"AMPD1"	"1"	115211551	115213500	3.6775727e-08	7.500937e-07	1.7404114	-1.6304624
"Chr1:115258501-115260000"	"NRAS"	"1"	115258501	115260000	0.652191	0.74472433	-0.07395291	0.07263289
"Chr1:115299451-115301850"	"null"	"1"	115299451	115301850	0.01059612	0.030392302	-0.41023642	0.40322432
"Chr1:115322551-115324500"	"SIKE1"	"1"	115322551	115324500	0.25305352	0.36852956	-0.21261352	0.20776042
"Chr1:115594951-115595700"	"TSPAN2"	"1"	115594951	115595700	0.52684844	0.63732743	0.29467088	-0.25656062
"Chr1:115605001-115605900"	"TSPAN2"	"1"	115605001	115605900	2.6259168e-09	7.237212e-08	4.056714	-3.0640774
"Chr1:115656601-115657800"	"null"	"1"	115656601	115657800	0.13120548	0.2223875	0.6766778	-0.5957541
"Chr1:115710301-115712100"	"null"	"1"	115710301	115712100	4.879789e-08	9.648614e-07	2.9019313	-2.4338236
"Chr1:115721551-115723050"	"null"	"1"	115721551	115723050	6.682985e-08	1.2590971e-06	2.6503906	-2.2777462
"Chr1:115732051-115733550"	"null"	"1"	115732051	115733550	0.00023904884	0.0013349924	2.1544654	-1.7463776
"Chr1:115800601-115801650"	"null"	"1"	115800601	115801650	0.0018599747	0.007303833	1.74473	-1.4386586
"Chr1:115973101-115974150"	"null"	"1"	115973101	115974150	0.007725646	0.02345536	1.3578503	-1.1552582
"Chr1:116012101-116013150"	"null"	"1"	116012101	116013150	0.14757429	0.24374142	0.7116008	-0.6122397
"Chr1:116088001-116089500"	"null"	"1"	116088001	116089500	5.7324916e-15	6.764795e-13	3.4499912	-3.0464842
"Chr1:116150551-116151450"	"null"	"1"	116150551	116151450	0.032806456	0.07490198	-1.0403979	0.89656377
"Chr1:116210551-116212350"	"VANGL1"	"1"	116210551	116212350	0.005357329	0.017394185	1.3304684	-1.1527201
"Chr1:116213401-116214900"	"VANGL1"	"1"	116213401	116214900	0.0145252	0.039115313	1.2208459	-1.0446776
"Chr1:116314201-116315100"	"CASQ2"	"1"	116314201	116315100	0.12087112	0.2091147	-0.8145507	0.6868403
"Chr1:116325001-116326350"	"null"	"1"	116325001	116326350	0.004790859	0.01583358	1.8216704	-1.4194225
"Chr1:116371651-116372550"	"null"	"1"	116371651	116372550	0.0020372071	0.007861156	1.9753883	0.05813335
"Chr1:116467051-116467800"	"null"	"1"	116467051	116467800	0.0003506817	0.0018454383	-1.9899436	1.6449503
"Chr1:116491501-116492550"	"null"	"1"	116491501	116492550	0.9383566	0.9598147	0.03005292	-0.027274912
"Chr1:116609851-116610900"	"SLC22A15"	"1"	116609851	116610900	0.23892267	0.35260954	0.86886615	-0.6347442
"Chr1:116618401-116619150"	"null"	"1"	116618401	116619150	0.77907014	0.84508437	0.12688537	-0.111433096
"Chr1:116676601-116677500"	"MAB21L3"	"1"	116676601	116677500	0.0034117084	0.01196996	-1.2439044	1.1083808
"Chr1:116681401-116682300"	"null"	"1"	116681401	116682300	0.6300565	0.7264921	-0.1687393	0.15584302
"Chr1:116694301-116695500"	"null"	"1"	116694301	116695500	0.55157727	0.6599133	-0.24654622	0.2209917
"Chr1:116901301-116902350"	"null"	"1"	116901301	116902350	0.32280627	0.44258243	0.4784338	-0.4133584
"Chr1:116918551-116920050"	"ATP1A1"	"1"	116918551	116920050	0.46174216	0.5774787	0.23604275	-0.2207359
"Chr1:117031201-117033000"	"null"	"1"	117031201	117033000	0.86736184	0.90918595	-0.099595	0.08033009
"Chr1:117041101-117042450"	"null"	"1"	117041101	117042450	0.14884253	0.24537276	0.73877895	-0.6278341
"Chr1:117046651-117047700"	"null"	"1"	117046651	117047700	0.0001303286	0.00079994055	1.59108	-1.4248224
"Chr1:117050551-117052800"	"CD58"	"1"	117050551	117052800	2.2301334e-20	9.0848916e-18	3.2760358	-3.0199192
"Chr1:117080851-117081900"	"CD58"	"1"	117080851	117081900	0.0056284876	0.018104918	1.3889933	-1.1872131
"Chr1:117095701-117096750"	"CD58"	"1"	117095701	117096750	0.36453876	0.48545557	0.39955935	-0.35343856
"Chr1:117098851-117100050"	"CD58"	"1"	117098851	117100050	0.00036984065	0.0019302074	1.9174639	-1.6033884
"Chr1:117112201-117114300"	"CD58"	"1"	117112201	117114300	0.39128867	0.51186126	-0.15609501	0.15268026
"Chr1:117131701-117132600"	"IGSF3"	"1"	117131701	117132600	0.18509866	0.2900292	0.65489084	-0.5622899
"Chr1:117164251-117165000"	"IGSF3"	"1"	117164251	117165000	0.23133269	0.34420952	-0.5061538	0.45158273
"Chr1:117185701-117186450"	"IGSF3"	"1"	117185701	117186450	0.84396017	0.8925526	0.09496145	-0.082060605
"Chr1:117209401-117211050"	"IGSF3"	"1"	117209401	117211050	0.58481413	0.6890061	-0.18030876	0.16796707
"Chr1:117360151-117361050"	"null"	"1"	117360151	117361050	0.93577135	0.95826834	-0.03720945	0.03254717
"Chr1:117369601-117370500"	"null"	"1"	117369601	117370500	0.0025061786	0.009313764	-1.5117993	1.2935817
"Chr1:117395851-117397050"	"null"	"1"	117395851	117397050	0.29255655	0.4111942	-0.49213412	0.42888537
"Chr1:117451951-117454350"	"PTGFRN"	"1"	117451951	117454350	0.014637219	0.039335046	-0.94796574	0.86043227
"Chr1:117601651-117604050"	"TTF2"	"1"	117601651	117604050	0.07056241	0.137257	-0.49091777	0.46766376
"Chr1:117619651-117620700"	"TTF2"	"1"	117619651	117620700	7.161683e-05	0.00048469304	1.9847164	-1.6976137
"Chr1:117636451-117637200"	"TTF2"	"1"	117636451	117637200	0.09313543	0.17053516	0.69103974	-0.6201802
"Chr1:117653101-117654150"	"TRIM45"	"1"	117653101	117654150	0.003921618	0.013426328	1.4867481	-1.2606395
"Chr1:117663751-117665400"	"TRIM45"	"1"	117663751	117665400	0.36307523	0.48398095	-0.18700346	0.18181702
"Chr1:117689101-117690750"	"VTCN1"	"1"	117689101	117690750	0.0016419259	0.006598323	1.428599	-1.2541673
"Chr1:117753001-117754200"	"VTCN1"	"1"	117753001	117754200	0.099507585	0.17931022	-0.83860695	0.7135299
"Chr1:118147801-118149450"	"null"	"1"	118147801	118149450	0.0122371465	0.034147345	0.95436853	-0.869235
"Chr1:118155151-118156200"	"null"	"1"	118155151	118156200	9.386702e-07	1.2232329e-05	2.5696588	-2.1659057
"Chr1:118300951-118302000"	"null"	"1"	118300951	118302000	0.97400194	0.983527	-0.014662752	0.012898934
"Chr1:118368751-118369800"	"null"	"1"	118368751	118369800	7.431224e-08	1.3858545e-06	2.3445532	-0.8811989
"Chr1:118471351-118473150"	"WDR3"	"1"	118471351	118473150	0.5089178	0.62094116	-0.15218168	0.14691824
"Chr1:119544301-119545350"	"null"	"1"	119544301	119545350	3.5715637e-08	7.3400946e-07	2.4039855	-2.130363
"Chr1:119682451-119684100"	"WARS2"	"1"	119682451	119684100	0.011588825	0.032669153	-0.45550984	0.44571754
"Chr1:119821651-119822700"	"null"	"1"	119821651	119822700	0.025741741	0.0616351	1.210978	-1.01008
"Chr1:120018301-120018900"	"null"	"1"	120018301	120018900	0.15743396	0.25607234	-0.50809926	0.46723923
"Chr1:120107551-120108750"	"null"	"1"	120107551	120108750	0.018015662	0.046489917	1.2613578	-1.05811
"Chr1:120217351-120218700"	"null"	"1"	120217351	120218700	0.0070479554	0.021764496	1.3147768	-1.132569
"Chr1:120358801-120359700"	"null"	"1"	120358801	120359700	0.000855737	0.0038522414	1.8252674	-1.5177559
"Chr1:120401851-120402900"	"null"	"1"	120401851	120402900	1.4791495e-06	1.8176424e-05	2.1993735	-1.9276909
"Chr1:120428701-120429300"	"null"	"1"	120428701	120429300	0.03907576	0.0859431	-0.876313	0.78156686
"Chr1:121225351-121226400"	"null"	"1"	121225351	121226400	0.35213813	0.4732993	0.55739415	-0.44860122
"Chr1:121355401-121356600"	"null"	"1"	121355401	121356600	1.0422824e-06	1.3394725e-05	-2.0742908	1.8510481
"Chr1:121478101-121479150"	"null"	"1"	121478101	121479150	0.0011617204	0.0049722567	-1.3817248	1.2312694
"Chr1:121482751-121485900"	"null"	"1"	121482751	121485900	0.00044702823	0.002256233	-0.5756031	0.5653462
"Chr1:144015301-144016650"	"null"	"1"	144015301	144016650	0.024604412	0.059578698	-1.001034	0.88281447
"Chr1:144532951-144534750"	"null"	"1"	144532951	144534750	0.05550465	0.11339051	0.57588273	-0.5427733
"Chr1:144931201-144933750"	"PDE4DIP"	"1"	144931201	144933750	0.14092061	0.23531346	-0.25846943	0.25320423
"Chr1:145095751-145097100"	"null"	"1"	145095751	145097100	0.083378315	0.15648498	-0.30181575	0.29574955
"Chr1:145381801-145383600"	"null"	"1"	145381801	145383600	0.7106306	0.79294336	-0.08731236	0.0841679
"Chr1:145421251-145422300"	"HFE2"	"1"	145421251	145422300	0.42805517	0.5464658	-0.3353858	0.2992486
"Chr1:145448551-145450050"	"null"	"1"	145448551	145450050	0.08148885	0.15368566	-0.73293656	0.65474117
"Chr1:145476451-145478100"	"LIX1L"	"1"	145476451	145478100	0.03331065	0.07586094	-0.39253932	0.38372964
"Chr1:145506901-145508400"	"RBM8A"	"1"	145506901	145508400	0.00078132784	0.003569144	-0.48851064	0.48163602
"Chr1:145515151-145517100"	"GNRHR2"	"1"	145515151	145517100	0.5940744	0.6966868	-0.099432915	0.097150974
"Chr1:145542001-145543950"	"ITGA10"	"1"	145542001	145543950	0.38572273	0.5066701	-0.23085015	0.22032441
"Chr1:145556401-145557450"	"ANKRD35"	"1"	145556401	145557450	0.06071698	0.12156477	-0.7675718	0.6898099
